assembly_accession,assembly_name,organism_name,organism_taxonomic_id,assembly_release_date,assembly_release_year,checkm_completeness,checkm_completeness_percentile,checkm_contamination,checkm_version,checkm_marker_count,collection_date
GCA_001687265.1,Brassica_juncea_var_tumida_T84-66_v1,Brassica juncea var. tumida,323352,2016-09-23,2016,,,,,,2025-01-27
GCA_001514335.2,ASM151433v2,Oryza longistaminata,4528,2016-01-21,2016,,,,,,2025-01-27
GCA_001879085.1,NIATTr2,Nicotiana attenuata,49451,2016-11-15,2016,,,,,,2025-01-27
GCF_001865875.1,LupAngTanjil_v1.0,Lupinus angustifolius,3871,2016-11-16,2016,,,,,,2025-01-27
GCA_001517995.1,phasIbeam10.0,Phaseolus vulgaris,3885,2016-01-22,2016,,,,,,2025-01-27
GCA_900079335.1,Trpr,Trifolium pratense,57577,2016-04-15,2016,,,,,,2025-01-27
GCA_001540865.1,ASM154086v1,Ananas comosus,4615,2016-03-14,2016,,,,,,2025-01-27
GCA_002237485.1,Zm-PH207-REFERENCE_NS-UIUC_UMN-1.1,Zea mays subsp. mays,381124,2017-07-31,2017,,,,,,2025-01-27
GCF_000686985.2,Bra_napus_v2.0,Brassica napus,3708,2017-09-15,2017,,,,,,2025-01-27
GCA_000710535.2,ASM71053v2,Oryza sativa f. spontanea,2998809,2017-02-06,2017,,,,,,2025-01-27
GCF_000005005.2,B73 RefGen_v4,Zea mays,4577,2017-02-07,2017,,,,,,2025-01-27
GCA_000347335.2,ASM34733v2,Aegilops tauschii,37682,2017-10-25,2017,,,,,,2025-01-27
GCA_000003195.3,Sorghum_bicolor_NCBIv3,Sorghum bicolor,4558,2017-04-07,2017,,,,,,2025-01-27
GCA_001981405.1,ASM198140v1,Spirodela polyrhiza,29656,2017-01-17,2017,,,,,,2025-01-27
GCF_002806865.2,ASM280686v2,Cucurbita pepo subsp. pepo,3664,2017-12-07,2017,,,,,,2025-01-27
GCA_002197605.1,Radish_v2.20,Raphanus sativus,3726,2017-06-19,2017,,,,,,2025-01-27
GCF_000346465.2,Prunus_persica_NCBIv2,Prunus persica,3760,2017-02-02,2017,,,,,,2025-01-27
GCA_002189035.1,U_gibba_v2,Utricularia gibba,13748,2017-06-12,2017,,,,,,2025-01-27
GCA_002006925.1,ASM200692v1,Citrus maxima,37334,2017-03-07,2017,,,,,,2025-01-27
GCA_002271895.2,ASM227189v2,Capsicum chinense,80379,2017-10-30,2017,,,,,,2025-01-27
GCA_002271885.2,ASM227188v2,Capsicum baccatum,33114,2017-10-30,2017,,,,,,2025-01-27
GCF_000816755.2,Araip1.1,Arachis ipaensis,130454,2017-04-25,2017,,,,,,2025-01-27
GCA_002525835.2,ipoBat4,Ipomoea batatas,4120,2017-10-16,2017,,,,,,2025-01-27
GCA_002319775.1,Ft1.0,Fagopyrum tataricum,62330,2017-09-21,2017,,,,,,2025-01-27
GCF_002742605.1,O_europaea_v1,Olea europaea var. sylvestris,158386,2017-11-03,2017,,,,,,2025-01-27
GCF_001876935.1,Aspof.V1,Asparagus officinalis,4686,2017-02-06,2017,,,,,,2025-01-27
GCA_002240015.2,TDr96_F1_Pseudo_Chromosome_v1.0,Dioscorea cayenensis subsp. rotundata,55577,2017-07-28,2017,,,,,,2025-01-27
GCA_002818315.1,Gokir.v1,Gossypioides kirkii,47615,2017-12-08,2017,,,,,,2025-01-27
GCA_900184675.1,WEW v1,Triticum dicoccoides,85692,2017-08-18,2017,,,,,,2025-01-27
GCA_003024255.1,Red5_PS1_1.69.0,Actinidia chinensis var. chinensis,1590841,2018-03-30,2018,,,,,,2025-01-27
GCA_002907465.1,glyso.PI483463.gnm1,Glycine soja,3848,2018-01-30,2018,,,,,,2025-01-27
GCA_003573695.1,ASM357369v1,Papaver somniferum,3469,2018-09-18,2018,,,,,,2025-01-27
GCA_003865215.1,ASM386521v1,Oryza sativa,4530,2018-12-06,2018,,,,,,2025-01-27
GCA_003576645.1,ASM357664v1,Ipomoea triloba,35885,2018-09-19,2018,,,,,,2025-01-27
GCA_003576665.1,ASM357666v1,Ipomoea trifida,35884,2018-09-19,2018,,,,,,2025-01-27
GCA_002905335.2,glyma.Lee.gnm1,Glycine max,3847,2018-01-30,2018,,,,,,2025-01-27
GCA_003430845.1,ASM343084v1,Xanthoceras sorbifolium,99658,2018-08-29,2018,,,,,,2025-01-27
GCA_003713205.1,Ceug_1.0,Coffea eugenioides,49369,2018-11-08,2018,,,,,,2025-01-27
GCA_003417725.2,ASM341772v2,Cannabis sativa,3483,2018-11-26,2018,,,,,,2025-01-27
GCA_000224295.2,ASM22429v2,Linum usitatissimum,4006,2018-03-27,2018,,,,,,2025-01-27
GCA_003086295.2,arahy.Tifrunner.gnm1.KYV3,Arachis hypogaea,3818,2018-05-30,2018,,,,,,2025-01-27
GCA_002993905.1,Msac_v3,Miscanthus sacchariflorus,183675,2018-03-14,2018,,,,,,2025-01-27
GCF_003713225.1,Cara_1.0,Coffea arabica,13443,2018-11-08,2018,,,,,,2025-01-27
GCA_003544955.1,Sspon.HiC_chr_asm,Saccharum spontaneum,62335,2018-09-12,2018,,,,,,2025-01-27
GCA_003063285.2,ASM306328v2,Arachis monticola,227691,2018-04-27,2018,,,,,,2025-01-27
GCF_000002425.4,Phypa V3,Physcomitrium patens,3218,2018-01-24,2018,,,,,,2025-01-27
GCA_003033685.1,ASM303368v1,Nelumbo nucifera,4432,2018-04-18,2018,,,,,,2025-01-27
GCF_000005505.3,Brachypodium_distachyon_v3.0,Brachypodium distachyon,15368,2018-01-24,2018,,,,,,2025-01-27
GCA_002211085.2,PHallii_v3.1,Panicum hallii,206008,2018-05-01,2018,,,,,,2025-01-27
GCA_900416815.2,Brassica_oleracea_HDEM,Brassica oleracea,3712,2018-07-11,2018,,,,,,2025-01-27
GCA_003061485.1,PhalliiHAL_v2.1,Panicum hallii var. hallii,1504633,2018-04-25,2018,,,,,,2025-01-27
GCF_003073215.2,Tu2.1,Triticum urartu,4572,2018-04-30,2018,,,,,,2025-01-27
GCA_002174835.2,ASM217483v2,Cenchrus americanus,4543,2018-01-24,2018,,,,,,2025-01-27
GCA_003130725.1,ASM313072v1,Chlorella sorokiniana,3076,2018-06-13,2018,,,,,,2025-01-27
GCF_001531365.2,CcrdV1.1,Cynara cardunculus var. scolymus,59895,2018-04-17,2018,,,,,,2025-01-27
GCA_000002595.3,Chlamydomonas_reinhardtii_v5.5,Chlamydomonas reinhardtii,3055,2018-01-26,2018,,,,,,2025-01-27
GCA_003046395.2,Pm_0390_v2,Panicum miliaceum,4540,2018-10-25,2018,,,,,,2025-01-27
GCA_003434825.1,Brassica_rapa_FPsc_v1.3,Brassica rapa,3711,2018-09-13,2018,,,,,,2025-01-27
GCA_004027125.1,Gothu_v1,Gossypium thurberi,34273,2019-01-16,2019,,,,,,2025-01-27
GCA_008629595.1,ASM862959v1,Brassica rapa subsp. pekinensis,51351,2019-09-20,2019,,,,,,2025-01-27
GCA_009771035.1,CNRS_Lalb_1.0,Lupinus albus,3870,2019-12-20,2019,,,,,,2025-01-27
GCA_007726485.1,CERZOS_EC1.0,Eragrostis curvula,38414,2019-08-05,2019,,,,,,2025-01-27
GCA_007990455.1,Gossypium_mustelinum_v1.1,Gossypium mustelinum,34275,2019-08-27,2019,,,,,,2025-01-27
GCA_009720345.1,FII_1.0,Fragaria iinumae,64939,2019-11-29,2019,,,,,,2025-01-27
GCA_004118075.2,ASM411807v2,Vigna unguiculata,3917,2019-01-30,2019,,,,,,2025-01-27
GCA_007859695.1,ASM785969v1,Chloropicon primus,1764295,2019-08-07,2019,,,,,,2025-01-27
GCF_004353265.1,EGFV_Vit.rip_1.0,Vitis riparia,96939,2019-04-16,2019,,,,,,2025-01-27
GCA_008044935.1,ASM804493v1,Gossypium turneri,34284,2019-08-21,2019,,,,,,2025-01-27
GCA_006937295.1,ASM693729v1,Carpinus fangiana,176857,2019-07-29,2019,,,,,,2025-01-27
GCA_005771605.1,ASM577160v1,Scutellaria baicalensis,65409,2019-05-29,2019,,,,,,2025-01-27
GCA_008124465.1,ASM812446v1,Cocos nucifera,13894,2019-08-29,2019,,,,,,2025-01-27
GCA_007990485.1,Gossypium_tomentosum_v1.1,Gossypium tomentosum,34277,2019-08-27,2019,,,,,,2025-01-27
GCA_007990325.1,Gossypium_darwinii_v1.1,Gossypium darwinii,34276,2019-08-27,2019,,,,,,2025-01-27
GCA_004329165.1,ASM432916v1,Spatholobus suberectus,455371,2019-03-07,2019,,,,,,2025-01-27
GCA_003412495.2,ASM341249v2,Echium plantagineum,113446,2019-05-31,2019,,,,,,2025-01-27
GCA_000238415.2,Cla97_v1,Citrullus lanatus,3654,2019-09-23,2019,,,,,,2025-01-27
GCF_009727055.1,ASM972705v1,Benincasa hispida,102211,2019-12-03,2019,,,,,,2025-01-27
GCA_009760825.1,ASM976082v1,Cucumis melo var. inodorus,357961,2019-12-18,2019,,,,,,2025-01-27
GCF_000004075.3,Cucumber_9930_V3,Cucumis sativus,3659,2019-11-15,2019,,,,,,2025-01-27
GCA_902499585.1,Morex_v2.0_test_0H,Hordeum vulgare subsp. vulgare,112509,2019-10-22,2019,,,,,,2025-01-27
GCA_003689015.2,ASM368901v2,Cicer reticulatum,90898,2019-07-29,2019,,,,,,2025-01-27
GCA_005869975.1,AgR_To_v5,Trifolium repens,3899,2019-11-22,2019,,,,,,2025-01-27
GCF_004785595.1,Jm3101_v1.0,Juglans microcarpa x Juglans regia,2249226,2019-04-16,2019,,,,,,2025-01-27
GCA_008761655.1,Gossypium_barbadense_v1.1,Gossypium barbadense,3634,2019-10-08,2019,,,,,,2025-01-27
GCA_009725075.1,ASM972507v1,Coix aquatica,79833,2019-12-04,2019,,,,,,2025-01-27
GCA_005393395.2,CCRI_HENU_Gaus_1.1,Gossypium australe,47621,2019-09-17,2019,,,,,,2025-01-27
GCA_009763385.1,ASM976338v1,Coix lacryma-jobi var. lacryma-jobi,1156411,2019-12-18,2019,,,,,,2025-01-27
GCF_005286985.1,Setaria_viridis_v2.0,Setaria viridis,4556,2019-05-14,2019,,,,,,2025-01-27
GCA_900231445.1,Svevo.v1,Triticum turgidum subsp. durum,4567,2019-02-13,2019,,,,,,2025-01-27
GCA_002890555.2,ZAAS_Lsic_2.0,Lagenaria siceraria,3668,2019-04-26,2019,,,,,,2025-01-27
GCA_009761775.1,UNIPI_FiCari_1.0,Ficus carica,3494,2019-12-18,2019,,,,,,2025-01-27
GCA_008932095.1,ASM893209v1,Pyrus ussuriensis x Pyrus communis,2448454,2019-10-11,2019,,,,,,2025-01-27
GCF_002994745.2,RchiOBHm-V2,Rosa chinensis,74649,2019-01-15,2019,,,,,,2025-01-27
GCF_902201215.1,ALMONDv2,Prunus dulcis,3755,2019-10-10,2019,,,,,,2025-01-27
GCA_900700895.2,Pisum_sativum_v1a,Pisum sativum,3888,2019-07-18,2019,,,,,,2025-01-27
GCA_004837865.1,BananaB_V1,Musa balbisiana,52838,2019-07-09,2019,,,,,,2025-01-27
GCA_009078335.1,ASM907833v1,Salix brachista,2182728,2019-10-22,2019,,,,,,2025-01-27
GCA_009746105.1,ASM974610v1,Rhododendron williamsianum,262921,2019-12-13,2019,,,,,,2025-01-27
GCA_004354405.1,ASM435440v1,Andrographis paniculata,175694,2019-03-19,2019,,,,,,2025-01-27
GCA_008638375.1,ASM863837v1,Nyssa sinensis,561372,2019-09-24,2019,,,,,,2025-01-27
GCA_007827005.2,Populus_simonii_2.0,Populus simonii,295327,2019-08-16,2019,,,,,,2025-01-27
GCA_009389715.1,palm_55x_up_171113_PBpolish2nd_filt_p,Phoenix dactylifera,42345,2019-11-04,2019,,,,,,2025-01-27
GCA_009363875.1,ASM936387v1,Mikania micrantha,192012,2019-10-28,2019,,,,,,2025-01-27
GCA_004135705.1,ASEM_AUS1_V1.0,Alloteropsis semialata,435756,2019-02-04,2019,,,,,,2025-01-27
GCF_001633185.2,ValleyOak3.2,Quercus lobata,97700,2019-01-11,2019,,,,,,2025-01-27
GCF_007655135.1,ASM765513v2,Punica granatum,22663,2019-10-22,2019,,,,,,2025-01-27
GCA_004150315.1,ASM415031v1,Actinidia eriantha,165200,2019-02-08,2019,,,,,,2025-01-27
GCA_009663005.1,ASM966300v1,Actinidia chinensis,3625,2019-11-14,2019,,,,,,2025-01-27
GCA_007844245.1,ASM784424v1,Pyrus betulifolia,436086,2019-08-08,2019,,,,,,2025-01-27
GCA_008009225.1,AYv1.1,Acer yangbiense,1000413,2019-08-23,2019,,,,,,2025-01-27
GCA_014282245.1,ASM1428224v1,Rhododendron simsii,118357,2020-08-25,2020,,,,,,2025-01-27
GCA_009831315.1,Os132278RS1,Oryza sativa tropical japonica subgroup,1736656,2020-01-06,2020,,,,,,2025-01-27
GCA_014296215.1,BGI_Pnoto_1,Panax notoginseng,44586,2020-08-26,2020,,,,,,2025-01-27
GCA_009905375.1,ASM990537v1,Apium graveolens,4045,2020-01-28,2020,,,,,,2025-01-27
GCA_013389735.1,COL_Plunatus_1.0,Phaseolus lunatus,3884,2020-07-08,2020,,,,,,2025-01-27
GCA_013401445.1,ASM1340144v1,Tripterygium wilfordii,458696,2020-07-13,2020,,,,,,2025-01-27
GCA_013103745.1,ASM1310374v1,Gardenia jasminoides,114476,2020-05-15,2020,,,,,,2025-01-27
GCA_012979555.1,Agr_To.v5,Trifolium occidentale,74524,2020-05-12,2020,,,,,,2025-01-27
GCA_014182895.1,ASM1418289v1,Angophora floribunda,34308,2020-08-14,2020,,,,,,2025-01-27
GCA_010134655.1,ASM1013465v1,Fragaria nilgerrensis,64941,2020-02-04,2020,,,,,,2025-01-27
GCA_014843725.1,ASM1484372v1,Amphicarpaea edgeworthii,132429,2020-10-07,2020,,,,,,2025-01-27
GCA_013407115.1,G.lat_10XGenomicsChromium.v1,Glycine latifolia,45691,2020-07-14,2020,,,,,,2025-01-27
GCA_013677235.1,ASM1367723v1,Gossypium klotzschianum,34286,2020-09-03,2020,,,,,,2025-01-27
GCA_013511315.1,ASM1351131v1,Gossypium laxum,34288,2020-09-03,2020,,,,,,2025-01-27
GCA_010883175.1,Longicalyx_V5.0,Gossypium longicalyx,34280,2020-02-21,2020,,,,,,2025-01-27
GCA_013467485.1,ASM1346748v1,Gossypium lobatum,34289,2020-09-03,2020,,,,,,2025-01-27
GCA_013677255.1,ASM1367725v1,Gossypium harknessii,34285,2020-09-03,2020,,,,,,2025-01-27
GCA_013467495.1,ASM1346749v1,Gossypium gossypioides,34282,2020-09-03,2020,,,,,,2025-01-27
GCA_013677245.1,ASM1367724v1,Gossypium davidsonii,34287,2020-09-03,2020,,,,,,2025-01-27
GCA_011799875.1,ASM1179987v1,Thinopyrum elongatum,4588,2020-04-01,2020,,,,,,2025-01-27
GCA_013676235.1,HZAU_G240_1.0,Camellia sinensis,4442,2020-09-14,2020,,,,,,2025-01-27
GCA_013487665.1,ASM1348766v1,Gossypium aridum,34290,2020-09-03,2020,,,,,,2025-01-27
GCA_013677265.1,ASM1367726v1,Gossypium armourianum,34283,2020-09-03,2020,,,,,,2025-01-27
GCA_014182375.1,ASM1418237v1,Eucalyptus virginea,2654258,2020-08-14,2020,,,,,,2025-01-27
GCA_013416215.1,Prunus_avium_v1.0,Prunus avium,42229,2020-07-16,2020,,,,,,2025-01-27
GCA_012295235.1,ASM1229523v1,Primulina huaijiensis,1492673,2020-04-15,2020,,,,,,2025-01-27
GCA_014885025.1,Pde_NFU_2_2,Populus deltoides,3696,2020-10-21,2020,,,,,,2025-01-27
GCA_016413885.1,Elo_Vpla-B_alternate_1.0,Vanilla planifolia,51239,2020-12-28,2020,,,,,,2025-01-27
GCA_013621005.1,IRD_Aeve_1.1,Aeschynomene evenia,561484,2020-07-29,2020,,,,,,2025-01-27
GCA_013350335.1,ASM1335033v1,Chimonanthus salicifolius,2855397,2020-06-18,2020,,,,,,2025-01-27
GCA_015476505.1,Embrapa_Uruz_1.0,Urochloa ruziziensis,240450,2020-11-16,2020,,,,,,2025-01-27
GCA_902806635.1,CM05836_v1.1,Digitaria exilis,1010633,2020-04-16,2020,,,,,,2025-01-27
GCF_014633365.1,ASM1463336v1,Diospyros lotus,55363,2020-09-21,2020,,,,,,2025-01-27
GCA_016071775.1,V_amurensis_1.0,Vitis amurensis,103351,2020-12-17,2020,,,,,,2025-01-27
GCA_014863905.1,SCAU_Psal_1.0,Prunus salicina,88123,2020-10-27,2020,,,,,,2025-01-27
GCA_013427195.1,ASM1342719v1,Vigna mungo,3915,2020-07-21,2020,,,,,,2025-01-27
GCA_011696235.1,ASM1169623v1,Quercus mongolica,103485,2020-03-25,2020,,,,,,2025-01-27
GCA_014218235.1,Taro_JAAS_v1.0,Colocasia esculenta,4460,2020-08-17,2020,,,,,,2025-01-27
GCA_015680905.1,ASM1568090v1,Coptis chinensis,261450,2020-12-01,2020,,,,,,2025-01-27
GCF_901000735.1,CavTom2PMs-1.0,Corylus avellana,13451,2020-11-25,2020,,,,,,2025-01-27
GCA_016403345.1,ASM1640334v1,Corylus heterophylla,80754,2020-12-28,2020,,,,,,2025-01-27
GCA_014182845.1,ASM1418284v1,Corymbia calophylla,34324,2020-08-14,2020,,,,,,2025-01-27
GCA_014858505.1,Ccitriodora_v2_1,Corymbia citriodora subsp. variegata,360336,2020-10-21,2020,,,,,,2025-01-27
GCA_014182735.1,ASM1418273v1,Corymbia maculata,87660,2020-08-14,2020,,,,,,2025-01-27
GCA_011762645.1,UTNaro_melon_Harukei-3_ver1.40,Cucumis melo,3656,2020-04-01,2020,,,,,,2025-01-27
GCA_014525375.1,ASM1452537v1,Cucumis melo subsp. agrestis,217619,2020-09-21,2020,,,,,,2025-01-27
GCA_011114355.1,ASM1111435v1,Carex littledalei,544730,2020-03-17,2020,,,,,,2025-01-27
GCA_016097605.1,ASM1609760v1,Eucalyptus guilfoylei,183827,2020-12-17,2020,,,,,,2025-01-27
GCA_014182565.1,ASM1418256v1,Eucalyptus marginata,183836,2020-08-14,2020,,,,,,2025-01-27
GCA_014182515.1,ASM1418251v1,Eucalyptus microcorys,34315,2020-08-14,2020,,,,,,2025-01-27
GCA_016097595.1,ASM1609759v1,Eucalyptus pumila,452574,2020-12-17,2020,,,,,,2025-01-27
GCA_014182855.1,ASM1418285v1,Eucalyptus regnans,87681,2020-08-14,2020,,,,,,2025-01-27
GCA_013348765.1,ASM1334876v1,Carpinus viminea,176864,2020-06-17,2020,,,,,,2025-01-27
GCA_016097485.1,ASM1609748v1,Eucalyptus sideroxylon x Eucalyptus melliodora,2660567,2020-12-17,2020,,,,,,2025-01-27
GCA_014182395.1,ASM1418239v1,Eucalyptus sp. ANBG9806169,3025359,2020-08-14,2020,,,,,,2025-01-27
GCA_014182365.1,ASM1418236v1,Eucalyptus tenuipes,183854,2020-08-14,2020,,,,,,2025-01-27
GCA_016097545.1,ASM1609754v1,Eucalyptus victrix,1230916,2020-12-17,2020,,,,,,2025-01-27
GCA_014182385.1,ASM1418238v1,Eucalyptus viminalis,155764,2020-08-14,2020,,,,,,2025-01-27
GCA_014182545.1,ASM1418254v1,Eucalyptus globulus,34317,2020-08-14,2020,,,,,,2025-01-27
GCA_014182575.1,ASM1418257v1,Eucalyptus decipiens,1711251,2020-08-14,2020,,,,,,2025-01-27
GCA_007844105.2,ASM784410v2,Rhamnella rubrinervis,2594499,2020-03-20,2020,,,,,,2025-01-27
GCA_014338645.1,ASM1433864v1,Triticum aestivum subsp. tibeticum,231718,2020-08-31,2020,,,,,,2025-01-27
GCA_000753965.2,IBAB_Ahyp_2.0,Amaranthus hypochondriacus,28502,2020-10-02,2020,,,,,,2025-01-27
GCF_010389155.1,C_canadensis_v1,Erigeron canadensis,72917,2020-03-09,2020,,,,,,2025-01-27
GCA_014871845.1,CpurpureusGG1_1_0,Ceratodon purpureus,3225,2020-12-28,2020,,,,,,2025-01-27
GCA_014636745.2,ASM1463674v2,Centella asiatica,48106,2020-09-21,2020,,,,,,2025-01-27
GCA_014182695.1,ASM1418269v1,Eucalyptus albens,183809,2020-08-14,2020,,,,,,2025-01-27
GCA_014182725.1,ASM1418272v1,Eucalyptus brandiana,2654256,2020-08-14,2020,,,,,,2025-01-27
GCA_014182705.1,ASM1418270v1,Eucalyptus camaldulensis,34316,2020-08-14,2020,,,,,,2025-01-27
GCA_014182715.1,ASM1418271v1,Eucalyptus cloeziana,34320,2020-08-14,2020,,,,,,2025-01-27
GCA_014182585.1,ASM1418258v1,Eucalyptus coolabah,881201,2020-08-14,2020,,,,,,2025-01-27
GCA_016097615.1,ASM1609761v1,Eucalyptus dawsonii,1711249,2020-12-17,2020,,,,,,2025-01-27
GCA_014182555.1,ASM1418255v1,Eucalyptus erythrocorys,34314,2020-08-14,2020,,,,,,2025-01-27
GCA_016097815.1,HAU_Weining_v1.0,Secale cereale,4550,2020-12-17,2020,,,,,,2025-01-27
GCA_012295215.1,ASM1229521v1,Luffa acutangula,56866,2020-04-15,2020,,,,,,2025-01-27
GCA_014773155.1,arast.V10309.gnm1.PFL2,Arachis stenosperma,217475,2020-10-02,2020,,,,,,2025-01-27
GCA_900464855.2,mschizocarpa_assembly_v2,Musa schizocarpa,52706,2020-11-02,2020,,,,,,2025-01-27
GCA_009831255.1,Os117425RS1,Oryza sativa aromatic subgroup,1736658,2020-01-06,2020,,,,,,2025-01-27
GCF_013358625.1,SCU_Mint_v3,Macadamia integrifolia,60698,2020-06-23,2020,,,,,,2025-01-27
GCA_014964335.1,ASM1496433v1,Solanum pimpinellifolium,4084,2020-10-28,2020,,,,,,2025-01-27
GCA_015731905.1,SDv1.1,Salix dunnii,1413687,2020-12-11,2020,,,,,,2025-01-27
GCA_012066045.3,ASM1206604v3,Morus alba,3498,2020-10-29,2020,,,,,,2025-01-27
GCA_003952965.2,Mru_ZJU_2,Morella rubra,262757,2020-09-23,2020,,,,,,2025-01-27
GCA_009887355.1,ASM988735v1,Solanum pinnatisectum,50273,2020-01-16,2020,,,,,,2025-01-27
GCA_009827155.1,ASM982715v1,Solanum tuberosum,4113,2020-01-02,2020,,,,,,2025-01-27
GCA_012295165.1,ASM1229516v1,Asparagus setaceus,272863,2020-04-15,2020,,,,,,2025-01-27
GCA_001411555.2,Walnut 2.0,Juglans regia,51240,2020-07-08,2020,,,,,,2025-01-27
GCA_013168755.1,CGSB_Amar_1.0,Avicennia marina subsp. marina,1381980,2020-05-26,2020,,,,,,2025-01-27
