assembly_accession,assembly_name,organism_name,organism_taxonomic_id,assembly_release_date,assembly_release_year,checkm_completeness,checkm_completeness_percentile,checkm_contamination,checkm_version,checkm_marker_count,collection_date
GCA_000977805.2,Sc_YJM1433_v1,Saccharomyces cerevisiae YJM1433,1294370,2016-12-15,2016,,,,,,2025-01-27
GCA_000977835.2,Sc_YJM1434_v1,Saccharomyces cerevisiae YJM1434,1294371,2016-12-15,2016,,,,,,2025-01-27
GCA_000978105.2,Sc_YJM1478_v1,Saccharomyces cerevisiae YJM1478,1294380,2016-12-15,2016,,,,,,2025-01-27
GCA_000975585.2,Sc_YJM195_v1,Saccharomyces cerevisiae YJM195,1294305,2016-07-29,2016,,,,,,2025-01-27
GCA_000975615.2,Sc_YJM244_v1,Saccharomyces cerevisiae YJM244,1294306,2016-11-18,2016,,,,,,2025-01-27
GCA_000976035.2,Sc_YJM453_v1,Saccharomyces cerevisiae YJM453,1294311,2016-07-29,2016,,,,,,2025-01-27
GCA_000976065.2,Sc_YJM456_v1,Saccharomyces cerevisiae YJM456,1294312,2016-11-18,2016,,,,,,2025-01-27
GCA_000976335.2,Sc_YJM689_v1,Saccharomyces cerevisiae YJM689,1294321,2016-07-29,2016,,,,,,2025-01-27
GCA_000976365.2,Sc_YJM693_v1,Saccharomyces cerevisiae YJM693,1294322,2016-11-18,2016,,,,,,2025-01-27
GCA_000662435.2,Sc_YJM993_v1,Saccharomyces cerevisiae YJM993,1294331,2016-07-29,2016,,,,,,2025-01-27
GCA_000976665.2,Sc_YJM996_v1,Saccharomyces cerevisiae YJM996,1294332,2016-11-18,2016,,,,,,2025-01-27
GCA_001703955.2,RBG5266v2,Fusarium pseudograminearum,101028,2016-08-12,2016,,,,,,2025-01-27
GCA_001857865.1,ASM185786v1,Sclerotinia sclerotiorum 1980 UF-70,665079,2016-10-31,2016,,,,,,2025-01-27
GCF_001640025.1,ASM164002v2,Sugiyamaella lignohabitans,796027,2016-05-06,2016,,,,,,2025-01-27
GCA_900106115.1,CBS 141442 assembly,Sungouiella intermedia,45354,2016-11-25,2016,,,,,,2025-01-27
GCA_900074845.1,FcUK99v1.2,Fusarium culmorum,5516,2016-07-09,2016,,,,,,2025-01-27
GCA_001548555.1,ASM154855v1,Eremothecium sinecaudum,45286,2016-02-04,2016,,,,,,2025-01-27
GCA_900080155.1,UBRO_v3,Ustilago bromivora,307758,2016-11-03,2016,,,,,,2025-01-27
GCF_001761485.1,ASM176148v1,Yarrowia lipolytica,4952,2016-10-12,2016,,,,,,2025-01-27
GCA_000977205.2,Sc_YJM1338_v1,Saccharomyces cerevisiae YJM1338,1294350,2016-12-15,2016,,,,,,2025-01-27
GCA_000977475.3,Sc_YJM1387_v1,Saccharomyces cerevisiae YJM1387,1294359,2016-12-15,2016,,,,,,2025-01-27
GCA_900074755.1,LANO0,Lachancea nothofagi CBS 11611,1266666,2016-10-25,2016,,,,,,2025-01-27
GCA_900074745.1,LAMI0,Lachancea mirantina,1230905,2016-10-25,2016,,,,,,2025-01-27
GCA_900074715.1,LAME0,Lachancea meyersii CBS 8951,1266667,2016-10-25,2016,,,,,,2025-01-27
GCA_900074765.1,LAFE0,Lachancea fermentati,4955,2016-10-26,2016,,,,,,2025-01-27
GCA_900074725.1,LADA0,Lachancea dasiensis,1072105,2016-10-25,2016,,,,,,2025-01-27
GCA_000976905.2,Sc_YJM1248_v1,Saccharomyces cerevisiae YJM1248,1294340,2016-11-18,2016,,,,,,2025-01-27
GCA_001708085.1,ASM170808v1,Komagataella phaffii,460519,2016-08-12,2016,,,,,,2025-01-27
GCA_001708105.1,ASM170810v1,Komagataella pastoris,4922,2016-08-12,2016,,,,,,2025-01-27
GCA_900074735.1,LAFA0,Lachancea sp. 'fantastica',1230904,2016-10-25,2016,,,,,,2025-01-27
GCF_001672515.1,ASM167251v1,Colletotrichum higginsianum IMI 349063,759273,2016-06-21,2016,,,,,,2025-01-27
GCF_001625195.1,ASM162519v1,Drechmeria coniospora,98403,2016-04-24,2016,,,,,,2025-01-27
GCA_000182965.3,ASM18296v3,Candida albicans SC5314,237561,2016-10-12,2016,,,,,,2025-01-27
GCA_000300575.2,ASM30057v2,Agaricus bisporus var. bisporus H97,936046,2016-07-15,2016,,,,,,2025-01-27
GCA_001682475.1,ASM168247v1,Agaricus bisporus var. bisporus,192523,2016-07-08,2016,,,,,,2025-01-27
GCA_000976935.2,Sc_YJM1250_v1,Saccharomyces cerevisiae YJM1250,1294341,2017-01-05,2017,,,,,,2025-01-27
GCA_000976965.3,Sc_YJM1252_v1,Saccharomyces cerevisiae YJM1252,1294342,2017-01-23,2017,,,,,,2025-01-27
GCA_000976995.2,Sc_YJM1273_v1,Saccharomyces cerevisiae YJM1273,1294343,2017-01-23,2017,,,,,,2025-01-27
GCA_000977145.2,Sc_YJM1332_v1,Saccharomyces cerevisiae YJM1332,1294348,2017-01-23,2017,,,,,,2025-01-27
GCA_000976845.3,Sc_YJM1242_v1,Saccharomyces cerevisiae YJM1242,1294338,2017-01-23,2017,,,,,,2025-01-27
GCA_000977025.2,Sc_YJM1304_v1,Saccharomyces cerevisiae YJM1304,1294344,2017-01-23,2017,,,,,,2025-01-27
GCA_000977055.4,Sc_YJM1307_v1,Saccharomyces cerevisiae YJM1307,1294345,2017-01-23,2017,,,,,,2025-01-27
GCA_000977085.2,Sc_YJM1311_v1,Saccharomyces cerevisiae YJM1311,1294346,2017-01-23,2017,,,,,,2025-01-27
GCA_000977115.3,Sc_YJM1326_v1,Saccharomyces cerevisiae YJM1326,1294347,2017-01-23,2017,,,,,,2025-01-27
GCA_000976815.3,Sc_YJM1208_v1,Saccharomyces cerevisiae YJM1208,1294337,2017-01-23,2017,,,,,,2025-01-27
GCA_001702695.2,ASM170269v2,Fusarium oxysporum f. sp. radicis-cucumerinum,327505,2017-09-25,2017,,,,,,2025-01-27
GCA_000976785.2,Sc_YJM1202_v1,Saccharomyces cerevisiae YJM1202,1294336,2017-01-23,2017,,,,,,2025-01-27
GCA_000976755.2,Sc_YJM1199_v1,Saccharomyces cerevisiae YJM1199,1294335,2017-01-23,2017,,,,,,2025-01-27
GCA_000976875.3,Sc_YJM1244_v1,Saccharomyces cerevisiae YJM1244,1294339,2017-01-23,2017,,,,,,2025-01-27
GCA_000977175.3,Sc_YJM1336_v1,Saccharomyces cerevisiae YJM1336,1294349,2017-01-23,2017,,,,,,2025-01-27
GCA_000976725.3,Sc_YJM1190_v1,Saccharomyces cerevisiae YJM1190,1294334,2017-01-23,2017,,,,,,2025-01-27
GCA_000977745.2,Sc_YJM1418_v1,Saccharomyces cerevisiae YJM1418,1294368,2017-01-23,2017,,,,,,2025-01-27
GCA_000977715.4,Sc_YJM1417_v1,Saccharomyces cerevisiae YJM1417,1294367,2017-01-23,2017,,,,,,2025-01-27
GCA_000977685.2,Sc_YJM1415_v1,Saccharomyces cerevisiae YJM1415,1294366,2017-01-06,2017,,,,,,2025-01-27
GCA_000977655.2,Sc_YJM1402_v1,Saccharomyces cerevisiae YJM1402,1294365,2017-01-23,2017,,,,,,2025-01-27
GCA_000977625.3,Sc_YJM1401_v1,Saccharomyces cerevisiae YJM1401,1294364,2017-01-23,2017,,,,,,2025-01-27
GCA_000977595.3,Sc_YJM1400_v1,Saccharomyces cerevisiae YJM1400,1294363,2017-01-23,2017,,,,,,2025-01-27
GCA_000977565.2,Sc_YJM1399_v1,Saccharomyces cerevisiae YJM1399,1294362,2017-01-23,2017,,,,,,2025-01-27
GCA_000977535.2,Sc_YJM1389_v1,Saccharomyces cerevisiae YJM1389,1294361,2017-01-05,2017,,,,,,2025-01-27
GCA_000977445.2,Sc_YJM1386_v1,Saccharomyces cerevisiae YJM1386,1294358,2017-01-23,2017,,,,,,2025-01-27
GCA_000977415.2,Sc_YJM1385_v1,Saccharomyces cerevisiae YJM1385,1294357,2017-01-23,2017,,,,,,2025-01-27
GCA_000977385.2,Sc_YJM1383_v1,Saccharomyces cerevisiae YJM1383,1294356,2017-01-23,2017,,,,,,2025-01-27
GCA_000977355.3,Sc_YJM1381_v1,Saccharomyces cerevisiae YJM1381,1294355,2017-01-23,2017,,,,,,2025-01-27
GCA_000977325.2,Sc_YJM1356_v1,Saccharomyces cerevisiae YJM1356,1294354,2017-01-23,2017,,,,,,2025-01-27
GCA_000977295.3,Sc_YJM1355_v1,Saccharomyces cerevisiae YJM1355,1294353,2017-01-23,2017,,,,,,2025-01-27
GCA_000977265.3,Sc_YJM1342_v1,Saccharomyces cerevisiae YJM1342,1294352,2017-01-23,2017,,,,,,2025-01-27
GCA_000977235.2,Sc_YJM1341_v1,Saccharomyces cerevisiae YJM1341,1294351,2017-01-05,2017,,,,,,2025-01-27
GCA_000976695.3,Sc_YJM1133_v1,Saccharomyces cerevisiae YJM1133,1294333,2017-01-05,2017,,,,,,2025-01-27
GCA_000975645.3,Sc_YJM1078_v1,Saccharomyces cerevisiae YJM1078,1296266,2017-01-23,2017,,,,,,2025-01-27
GCA_000975675.2,Sc_YJM1083_v1,Saccharomyces cerevisiae YJM1083,1292971,2017-01-05,2017,,,,,,2025-01-27
GCF_001653235.2,ASM165323v2,Pochonia chlamydosporia 170,1380566,2017-07-10,2017,,,,,,2025-01-27
GCA_002267045.1,ASM226704v1,Parastagonospora nodorum,13684,2017-08-23,2017,,,,,,2025-01-27
GCA_002216725.1,ASM221672v1,Cryptococcus neoformans var. grubii,178876,2017-07-12,2017,,,,,,2025-01-27
GCA_900149145.1,Msy_ATCC_42132_Feb2016,Malassezia sympodialis ATCC 42132,1230383,2017-01-09,2017,,,,,,2025-01-27
GCA_900149175.1,Msy_KS004_June2015,Malassezia sympodialis,76777,2017-01-09,2017,,,,,,2025-01-27
GCA_000975705.2,Sc_YJM1129_v1,Saccharomyces cerevisiae YJM1129,1293430,2017-01-23,2017,,,,,,2025-01-27
GCA_008080495.1,ASM808049v1,Cordyceps militaris,73501,2017-11-30,2017,,,,,,2025-01-27
GCA_002742065.1,CB0940_V2,Cercospora beticola,122368,2017-11-03,2017,,,,,,2025-01-27
GCA_000977775.3,Sc_YJM1419_v1,Saccharomyces cerevisiae YJM1419,1294369,2017-01-23,2017,,,,,,2025-01-27
GCA_900091695.1,Zt_ST99CH_3D7,Zymoseptoria tritici ST99CH_3D7,1276538,2017-05-12,2017,,,,,,2025-01-27
GCA_002835845.1,ASM283584v1,Candida albicans,5476,2017-12-12,2017,,,,,,2025-01-27
GCA_000977865.2,Sc_YJM1439_v1,Saccharomyces cerevisiae YJM1439,1294372,2017-01-23,2017,,,,,,2025-01-27
GCA_002216205.1,ASM221620v1,Cryptococcus neoformans var. neoformans XL280,1396488,2017-07-10,2017,,,,,,2025-01-27
GCA_000977925.3,Sc_YJM1444_v1,Saccharomyces cerevisiae YJM1444,1294374,2017-01-23,2017,,,,,,2025-01-27
GCA_000976305.2,Sc_YJM683_v1,Saccharomyces cerevisiae YJM683,1294320,2017-01-23,2017,,,,,,2025-01-27
GCA_000976395.2,Sc_YJM969_v1,Saccharomyces cerevisiae YJM969,1294323,2017-01-05,2017,,,,,,2025-01-27
GCA_000976425.2,Sc_YJM972_v1,Saccharomyces cerevisiae YJM972,1294324,2017-01-23,2017,,,,,,2025-01-27
GCA_000976455.3,Sc_YJM975_v1,Saccharomyces cerevisiae YJM975,1294325,2017-01-05,2017,,,,,,2025-01-27
GCA_000976485.2,Sc_YJM978_v1,Saccharomyces cerevisiae YJM978,1294326,2017-01-23,2017,,,,,,2025-01-27
GCA_000976515.2,Sc_YJM981_v1,Saccharomyces cerevisiae YJM981,1294327,2017-01-23,2017,,,,,,2025-01-27
GCA_000976545.2,Sc_YJM984_v1,Saccharomyces cerevisiae YJM984,1294328,2017-01-23,2017,,,,,,2025-01-27
GCA_001936275.1,ATCC36309,Saccharomycopsis fibuligera,4944,2017-01-05,2017,,,,,,2025-01-27
GCA_900184115.1,ST99CH_1E4,Zymoseptoria tritici ST99CH_1E4,1276532,2017-10-31,2017,,,,,,2025-01-27
GCA_900099495.1,ZT1A5 complete assembly,Zymoseptoria tritici ST99CH_1A5,1276529,2017-06-06,2017,,,,,,2025-01-27
GCA_001984395.2,ASM198439v2,Zygosaccharomyces parabailii,1365886,2017-03-16,2017,,,,,,2025-01-27
GCA_002006585.1,ASM200658v1,Trichoderma reesei QM6a,431241,2017-02-24,2017,,,,,,2025-01-27
GCA_000976275.4,Sc_YJM682_v1,Saccharomyces cerevisiae YJM682,1294319,2017-01-23,2017,,,,,,2025-01-27
GCA_001302255.2,TraHir072,Trametes hirsuta,5327,2017-02-03,2017,,,,,,2025-01-27
GCA_001571465.2,ASM157146v2,Talaromyces pinophilus,128442,2017-07-18,2017,,,,,,2025-01-27
GCA_000091225.2,ASM9122v2,Encephalitozoon cuniculi GB-M1,284813,2017-03-09,2017,,,,,,2025-01-27
GCA_000976575.4,Sc_YJM987_v1,Saccharomyces cerevisiae YJM987,1294329,2017-01-05,2017,,,,,,2025-01-27
GCA_000976605.3,Sc_YJM990_v1,Saccharomyces cerevisiae YJM990,1294330,2017-01-23,2017,,,,,,2025-01-27
GCA_001936135.1,KJJ81,Saccharomycopsis fibuligera x Saccharomycopsis cf. fibuligera,1725355,2017-01-05,2017,,,,,,2025-01-27
GCF_002079055.1,ASM207905v1,Saccharomyces paradoxus,27291,2017-03-21,2017,,,,,,2025-01-27
GCA_000977895.3,Sc_YJM1443_v1,Saccharomyces cerevisiae YJM1443,1294373,2017-01-23,2017,,,,,,2025-01-27
GCA_000976245.2,Sc_YJM681_v1,Saccharomyces cerevisiae YJM681,1294318,2017-01-23,2017,,,,,,2025-01-27
GCA_900184105.1,ST99CH_3D1,Zymoseptoria tritici ST99CH_3D1,1276537,2017-10-31,2017,,,,,,2025-01-27
GCA_000976185.3,Sc_YJM555_v1,Saccharomyces cerevisiae YJM555,1294316,2017-01-23,2017,,,,,,2025-01-27
GCA_000976215.2,Sc_YJM627_v1,Saccharomyces cerevisiae YJM627,1294317,2017-01-23,2017,,,,,,2025-01-27
GCA_000978345.2,Sc_YJM1615_v1,Saccharomyces cerevisiae YJM1615,1294388,2017-01-23,2017,,,,,,2025-01-27
GCA_000978315.2,Sc_YJM1592_v1,Saccharomyces cerevisiae YJM1592,1294387,2017-01-23,2017,,,,,,2025-01-27
GCA_000978285.2,Sc_YJM1574_v1,Saccharomyces cerevisiae YJM1574,1294386,2017-01-23,2017,,,,,,2025-01-27
GCA_000978255.2,Sc_YJM1573_v1,Saccharomyces cerevisiae YJM1573,1294385,2017-01-23,2017,,,,,,2025-01-27
GCA_000978225.2,Sc_YJM1549_v1,Saccharomyces cerevisiae YJM1549,1294384,2017-01-23,2017,,,,,,2025-01-27
GCA_000975735.4,Sc_YJM189_v1,Saccharomyces cerevisiae YJM189,1294303,2017-01-23,2017,,,,,,2025-01-27
GCA_000978195.3,Sc_YJM1527_v1,Saccharomyces cerevisiae YJM1527,1294383,2017-01-23,2017,,,,,,2025-01-27
GCA_000978135.2,Sc_YJM1479_v1,Saccharomyces cerevisiae YJM1479,1294381,2017-01-05,2017,,,,,,2025-01-27
GCA_000978075.3,Sc_YJM1477_v1,Saccharomyces cerevisiae YJM1477,1294379,2017-01-23,2017,,,,,,2025-01-27
GCA_000978045.2,Sc_YJM1463_v1,Saccharomyces cerevisiae YJM1463,1294378,2017-01-23,2017,,,,,,2025-01-27
GCA_000978015.2,Sc_YJM1460_v1,Saccharomyces cerevisiae YJM1460,1294377,2017-01-23,2017,,,,,,2025-01-27
GCA_000977985.2,Sc_YJM1450_v1,Saccharomyces cerevisiae YJM1450,1294376,2017-01-23,2017,,,,,,2025-01-27
GCA_000977955.2,Sc_YJM1447_v1,Saccharomyces cerevisiae YJM1447,1294375,2017-01-23,2017,,,,,,2025-01-27
GCA_000978165.2,Sc_YJM1526_v1,Saccharomyces cerevisiae YJM1526,1294382,2017-01-23,2017,,,,,,2025-01-27
GCA_000975765.2,Sc_YJM193_v1,Saccharomyces cerevisiae YJM193,1294304,2017-01-23,2017,,,,,,2025-01-27
GCA_000975915.3,Sc_YJM326_v1,Saccharomyces cerevisiae YJM326,468558,2017-01-23,2017,,,,,,2025-01-27
GCA_000976155.4,Sc_YJM554_v1,Saccharomyces cerevisiae YJM554,1294315,2017-01-05,2017,,,,,,2025-01-27
GCA_000976125.2,Sc_YJM541_v1,Saccharomyces cerevisiae YJM541,1294314,2017-01-23,2017,,,,,,2025-01-27
GCA_000976095.2,Sc_YJM470_v1,Saccharomyces cerevisiae YJM470,1294313,2017-01-05,2017,,,,,,2025-01-27
GCA_000975795.2,Sc_YJM248_v1,Saccharomyces cerevisiae YJM248,1294307,2017-01-05,2017,,,,,,2025-01-27
GCA_000976005.2,Sc_YJM451_v1,Saccharomyces cerevisiae YJM451,502869,2017-01-23,2017,,,,,,2025-01-27
GCA_000975975.3,Sc_YJM450_v1,Saccharomyces cerevisiae YJM450,1294310,2017-01-23,2017,,,,,,2025-01-27
GCA_000975945.2,Sc_YJM428_v1,Saccharomyces cerevisiae YJM428,947044,2017-01-23,2017,,,,,,2025-01-27
GCA_000975855.3,Sc_YJM271_v1,Saccharomyces cerevisiae YJM271,1294309,2017-01-05,2017,,,,,,2025-01-27
GCA_000975885.2,Sc_YJM320_v1,Saccharomyces cerevisiae YJM320,947042,2017-01-23,2017,,,,,,2025-01-27
GCA_000975825.2,Sc_YJM270_v1,Saccharomyces cerevisiae YJM270,1294308,2017-01-23,2017,,,,,,2025-01-27
GCA_003290485.1,ASM329048v1,Malassezia restricta,76775,2018-07-09,2018,,,,,,2025-01-27
GCA_900162835.1,version 2,Sporisorium reilianum f. sp. reilianum,72559,2018-02-08,2018,,,,,,2025-01-27
GCA_003691605.1,ASM369160v1,Malassezia restricta CBS 7877,425264,2018-10-29,2018,,,,,,2025-01-27
