bion_id,Properties,property_type,property_of,Organism,value,min_value,max_value,Units,standardized_value,standardized_min,standardized_max,category,original_value,original_range
105145,Volume of high light acclimated cells,Volume,high light acclimated cells,Alga Nannochloropsis sp.,10.2,,,µm^3,1.02e-17,,,Cells,10.2,'±2.5
108914,Size of various cells,Size,various cells,Algae,,7.0,9.0,Î¼m,,7e-06,9e-06,Cells,,'7 to 9 Table link - http://bionumbers.hms.harvard.edu/files/Sizes%20of%20various%20cells.pdf
108781,Dimensions,Dimensions,,Algae Chlamydomonas nivalis,,12.5,15.0,Î¼m,,1.2499999999999999e-05,1.4999999999999999e-05,Other,,'Cell length 12.5-15 Î¼m: cell width 8.7-10 Î¼m (in motile cells): 22.5 x 17.5 Î¼m (in non-motile cells)
106678,Size of nucleomorph genome,Size,nucleomorph genome,Algae Chlorarachniophyte CCMP621,380.0,,,kb,380.0,,,Other,380,
117326,Cell volume,Volume,cell,Algae Euglena gracilis,1580.0,,,Î¼m^3,1.58e-15,,,Cells,1580,
106677,Size of nucleomorph genome,Size,nucleomorph genome,Algae Guillardia theta,551.0,,,kb,551.0,,,Other,551,
108782,Dimensions,Dimensions,,Algae Meridion circulare,,25.0,42.5,Î¼m,,2.4999999999999998e-05,4.2499999999999996e-05,Other,,'Cell length 25-42.5 Î¼m: cell width 2.5-5 Î¼m (narrowest part): 5-10 Î¼m (broadest part)
117327,Cell volume,Volume,cell,Algae Ochromonas sp.,,70.0,250.0,Î¼m^3,,7e-17,2.5e-16,Cells,,'70 - 250
112816,Cell diameter,Diameter,cell,Algae Pavlova lutheri,,4.0,6.0,µm,,4e-06,6e-06,Cells,,'4-6
108783,Dimensions,Dimensions,,Algae Tabellaria fenestrata,,17.5,42.5,Î¼m,,1.75e-05,4.2499999999999996e-05,Other,,'Cell length 17.5-42.5 Î¼m: cell width 3-6.3 Î¼m
117299,SAR11 cell volume,Volume,sar11 cell,Alphaproteobacteria,0.074,,,cubic micrometers,0.074,,,Cells,0.074,
105513,Genome size,Size,genome,Amoeba Dictyostelium discoideum,34000000.0,,,bp,34000000.0,,,Other,34000000,'Table link - http://bionumbers.hms.harvard.edu/files/Sequence%20assembly%20details%20of%20D.%20discoideum.pdf
106826,Cell length,Length,cell,Amoeba Dictyostelium discoideum,,,,Î¼m,,,,Cells,,'12 wildtype: 9 mutant
109567,Mean actin polymer length,Length,mean actin polymer,Amoeba Dictyostelium discoideum,200.0,,,nm,2.0000000000000002e-07,,,Other,200,
107214,Maximal volume,Volume,maximal,Amoeba Proteus,1.0,,,mm^3,1e-09,,,Other,1,
113819,Average cellular and nuclear volume,Volume,average cellular and nuclear,Amoeba Proteus,,,,mm^3,,,,Nuclei,,'cell 0.497mm^3±3%: nucleus 0.00775mm^3±2%
117325,Cell volume,Volume,cell,Amoeba Proteus,936000.0,,,Î¼m^3,9.36e-13,,,Cells,936000,
106451,Median protein length of 15 archaeal species,Median protein length,15 archaeal species,Archaea,247.0,,,Amino acids,247.0,,,Small molecules & proteins,247,'Table link - http://bionumbers.hms.harvard.edu/files/Median%20protein%20lengths%20in%20eukaryotic%2C%20bacterial%20and%20archaeal%20organisms%20with%20abbreviations.pdf
116400,"Dimensions of hami (singular hamus, archaeal cell surface appendage)",Dimensions,"hami (singular hamus, archaeal cell surface appendage)",Archaea,,,,,,,,Cells,,'length 1µm - 3µm: diameter 7nm - 8nm
109578,Dimensions of ribosomal exit tunnel,Dimensions,ribosomal exit tunnel,Archaea Haloarcula marismortui,,80.0,100.0,Å,,80.0,100.0,Other,,'Length 80 to 100: Width ~10 to 20
103035,Shell volume of 50S ribosome subunit,Shell volume,50S ribosome subunit,Archaea Haloarcula marismortui,2290000.0,,,Å^3,2.29e-24,,,Cell organelles,2290000,'Table link - http://bionumbers.hms.harvard.edu/files/Solvent%20properties%20for%20several%20different%20macromolecules.jpg
115596,"Dimensions (of square, flat cells)","Dimensions (of square, flat cells)",,Archaea Haloquadratum walsbyi,,,,µm,,,,Cells,,'width 2µm-5µm: thickness 0.1µm-0.5µm
105501,Genome size of (large) chromosome,Genome size,(large) chromosome,Archaea Methanocaldococcus jannaschii,1660000.0,,,bp,1660000.0,,,DNA/RNA structures,1660000,
106689,Cell diameter growing on formate,Cell diameter growing on formate,,Archaea Methanococcus maripaludis,1.5,,,Î¼m,1.5e-06,,,Cells,1.5,'±0.2
105503,Genome size-smallest parasitic archaeal genome,Genome size-smallest parasitic archaeal genome,,Archaea Nanoarchaeum equitans,491000.0,,,bp,491000.0,,,Other,491000,
107655,Diameter of cell,Diameter,cell,Archaea Nanoarchaeum equitans,,,,nm,,,,Cells,,'~400
105916,Genome size,Size,genome,Archaea Pyrococcus furiosus,1910000.0,,,bp,1910000.0,,,Other,1910000,
111387,Genome size,Size,genome,Archaea Pyrococcus horikoshii,1740000.0,,,bp,1740000.0,,,Other,1740000,
116398,Outside diameter of cannulae (a network of tubules in which the cells grow),Outside diameter,cannulae (a network of tubules in which the cells grow),Archaea Pyrodictium abyssi,25.0,,,nm,2.5000000000000002e-08,,,Cells,25,
110070,Cell diameter in culture (largest reported archaea),Cell diameter in culture (largest reported archaea),,Archaea Staphylothermus marinus,,,,Î¼m,,,,Cells,,'â¤15
116401,Width of (the numerous) pili,Width,(the numerous) pili,Archaea Sulfolobus spp.,5.0,,,nm,5e-09,,,Other,5,
103059,Cell size,Size,cell,Archaea Thermococcus coalescens,,0.5,2.0,µm,,5e-07,2e-06,Cells,,'0.5-2.0
110071,Size of disk-shaped cells (smallest reported archaea),Size,disk-shaped cells (smallest reported archaea),Archaea Thermodiscus spp.,,,,Î¼m,,,,Cells,,'diameter â¥0.2Î¼m: disk-thickness 0.1â0.2Î¼m
103058,Shell volume of chaperonin,Shell volume,chaperonin,Archaea Thermoplasma acidophilum,1700000.0,,,Å^3,1.7e-24,,,Other,1700000,
104914,Dimensions of the 20S proteasome,Dimensions,the 20S proteasome,Archaea Thermoplasma acidophilum,,,,,,,,Other,,'148 Å (length)× 94 Å (diameter)
105915,Genome size,Size,genome,Archaea Thermoplasma acidophilum,1560000.0,,,base pairs,1560000.0,,,Other,1560000,'Table link - http://tinyurl.com/onzyxe6
111632,Volume of nanoarchaea,Volume,nanoarchaea,Archaeal Richmond Mine acidophilic nanoorganisms (ARMAN),,0.009,0.04,µm^3,,9e-21,4.0000000000000004e-20,Other,,'0.009 - 0.04 (mean from primary source 0.03±0.01µm^3)
117003,Genome (circular dsDNA) size,Size,genome (circular dsdna),Archaeal virus Fuselloviridae spp.,,13.7,24.1,kb,,13.7,24.1,DNA/RNA structures,,'13.7 - 24.1
117004,Genome (circular dsDNA) size,Size,genome (circular dsdna),Archaeal virus Sulfolobus turreted icosahedral virus (STIV) 1,17.6,,,kb,17.6,,,DNA/RNA structures,17.6,
106688,Cell diameter,Diameter,cell,Archeae Methanosarcina acetivorans,,,,Î¼m,,,,Cells,,'2.3±0.2Î¼m grown on methanol: 1.8±0.2Î¼m grown on acetate
107417,Volume of cell,Volume,cell,Bacteria (fam. Halomonadaceae) GFAJ-1,,,,Î¼m^3,,,,Cells,,'Under +As/- P ~2.5±0.4: Under -As/+ P ~1.5±0.5
108812,Normalized extracellular aqueous volume (Vex) for A. tumefaciens AGL1,Normalized extracellular aqueous volume (Vex) for A. tumefaciens AGL1,,Bacteria Agrobacterium tumefaciens,3.7,,,Î¼L/mg,3.7,,,Cells,3.7,
108814,Normalized intracellular aqueous volume (Vin) for A. tumefaciens AGL1,Normalized intracellular aqueous volume (Vin) for A. tumefaciens AGL1,,Bacteria Agrobacterium tumefaciens,1.8,,,Î¼L/mg,1.8,,,Cells,1.8,
115481,"Example calculation of DNA macromolecular formula for A. acidocaldarius with 61.9% GC content, assuming a polymer length of 1 monomer",Example calculation,"DNA macromolecular formula for A. acidocaldarius with 61.9% GC content, assuming a polymer length of 1 monomer",Bacteria Alicyclobacillus acidocaldarius,,,,,,,,DNA/RNA structures,,'Table link - http://bionumbers.hms.harvard.edu/files/Example%20calculation%20of%20DNA%20macromolecular%20formula%20for%20A.%20acidocaldarius%20with%2061.9%25%20GC%20content%2C%20assuming%20a%20polymer%20length%20of%201%20monomer.pdf
103042,Shell volume of Group I ribozyme,Shell volume,Group I ribozyme,Bacteria Azoarcus sp.,132763.0,,,A^3,1.32763e-25,,,Cells,132763,
116955,Genome size of B. cereus strains,Genome size,B. cereus strains,Bacteria Bacillus cereus,,5.5,6.3,Mb,,5.5,6.3,Cells,,'5.5 to 6.3
100211,Diameter of Bacillus subtilis,Diameter,Bacillus subtilis,Bacteria Bacillus subtilis,0.87,,,µm,8.699999999999999e-07,,,Cells,0.87,
100212,Length of Bacillus subtilis in rich media,Length,Bacillus subtilis in rich media,Bacteria Bacillus subtilis,4.7,,,µm,4.7e-06,,,Cells,4.7,
100213,Length of Bacillus subtilis in minimal sorbitol medium,Length,Bacillus subtilis in minimal sorbitol medium,Bacteria Bacillus subtilis,2.3,,,µm,2.2999999999999996e-06,,,Cells,2.3,
106387,"Volume of cell in exponential growth (t0), early stationary phase (t1) and late stationary phase (t2)",Volume,"cell in exponential growth (t0), early stationary phase (t1) and late stationary phase (t2)",Bacteria Bacillus subtilis,,,,µm^3,,,,Cells,,'t0 1.13: t1 0.62: t2 0.85 Table link - http://bionumbers.hms.harvard.edu/files/Volume%20of%20B.%20subtilis%20and%20S.%20aureus.pdf
108445,Median volume of cell in exponential phase,Median volume,cell in exponential phase,Bacteria Bacillus subtilis,1.13,,,Î¼m^3,1.13e-18,,,Cells,1.13,'±0.37 Table link - http://bionumbers.hms.harvard.edu/files/Titer%2C%20volumes%20and%20disruption%20efficiency%20for%20B.%20subtilis%20and%20S.%20aureus.pdf
108446,Median volume of cell in early stationary phase,Median volume,cell in early stationary phase,Bacteria Bacillus subtilis,0.62,,,Î¼m^3,6.200000000000001e-19,,,Cells,0.62,'±0.35 Table link - http://bionumbers.hms.harvard.edu/files/Titer%2C%20volumes%20and%20disruption%20efficiency%20for%20B.%20subtilis%20and%20S.%20aureus.pdf
108447,Median volume of cell in late stationary phase,Median volume,cell in late stationary phase,Bacteria Bacillus subtilis,0.85,,,Î¼m^3,8.5e-19,,,Cells,0.85,'±0.38 Table link - http://bionumbers.hms.harvard.edu/files/Titer%2C%20volumes%20and%20disruption%20efficiency%20for%20B.%20subtilis%20and%20S.%20aureus.pdf
111386,Genome size,Size,genome,Bacteria Bacillus subtilis,4310000.0,,,bp,4310000.0,,,Cells,4310000,
111447,Genome length,Length,genome,Bacteria Bacillus subtilis,4220000.0,,,bp,4220000.0,,,Cells,4220000,
114921,Cell volume,Volume,cell,Bacteria Bacillus subtilis,1.41,,,µm^3,1.41e-18,,,Cells,1.41,
114922,Cell volume,Volume,cell,Bacteria Bacillus subtilis,0.9,,,µm^3,9e-19,,,Cells,0.9,
115559,Average cell length per FtsZ ring (L/R),Average cell length per FtsZ ring (L/R),,Bacteria Bacillus subtilis,6.5,,,µm/ring,6.5,,,Cells,6.5,
108186,Cell dimensions,Cell dimensions,,Bacteria Bdellovibrio bacteriovorus,,,,Î¼m,,,,Cells,,'width 0.25: length 1
108189,Cell length,Length,cell,Bacteria Bdellovibrio bacteriovourus,,,,Î¼m,,,,Cells,,'In bdelloplast 0.87: before infection 1.66
111245,Genome size (linear chromosome),Genome size (linear chromosome),,Bacteria Borrelia burgdorferi,,1.0,900.0,kb,,1.0,900.0,DNA/RNA structures,,"'900 - 1,000"
111232,Cell size,Size,cell,Bacteria Candidatus Ovobacter propellens,,4.0,5.0,µm,,4e-06,4.9999999999999996e-06,Cells,,'4 - 5
110499,Estimated upper limit for size of cytoplasmic components that are not affected by metabolism-dependent motion,Estimated upper limit for size,cytoplasmic components that are not affected by metabolism-dependent motion,Bacteria Caulobacter crescentus,,30.0,40.0,nm,,3.0000000000000004e-08,4e-08,Cell organelles,,'30 - 40
115579,Dimensions of prosthecae,Dimensions,prosthecae,Bacteria Caulobacter crescentus,,100.0,150.0,nm,,1.0000000000000001e-07,1.5000000000000002e-07,Cells,,'diameter ~100 - 150nm: width of central pore ~10 - 20nm
104248,Dimensions of bacteriophage phiCbK head,Dimensions,bacteriophage phiCbK head,Bacteria Caulobacter crescentus,,,,nmXnm,,,,Cells,,'64X195
104249,Dimensions of bacteriophage phiCbK tail,Dimensions,bacteriophage phiCbK tail,Bacteria Caulobacter crescentus,275.0,,,nm,2.75e-07,,,Cells,275,
105497,Genome size,Size,genome,Bacteria Caulobacter crescentus,4020000.0,,,bp,4020000.0,,,Cells,4020000,'Table link - http://bionumbers.hms.harvard.edu/files/General%20Features%20of%20the%20C.%20crescentus%20genome.pdf
110497,Average apparent length of crescentin-GFP structures,Average apparent length,crescentin-GFP structures,Bacteria Caulobacter crescentus,900.0,,,nm,9.000000000000001e-07,,,Cells,900,
111504,Mean cell length at division,Mean cell length at division,,Bacteria Caulobacter crescentus,,,,µm,,,,Cells,,'swarmer at birth 1.9: stalked at birth 2.2: swarmer & stalked at division 4
110361,Volume of cell,Volume,cell,Bacteria Chlorobium clathratiforme,1.2,,,µm^3,1.2e-18,,,Cells,1.2,
110360,Volume of cell,Volume,cell,Bacteria Chromatium okenii,270.0,,,µm^3,2.7e-16,,,Cells,270,
110434,Genome size,Size,genome,Bacteria Corynebacterium glutamicum,3.28,,,Mb,3.28,,,Cells,3.28,
109503,Size (may be larger than),Size (may be larger than),,Bacteria Epulopiscium fishelsoni,,,,Î¼m,,,,Cells,,'600 X 80
109050,Burst size of bacteriophage MS2 in E.coli,Burst size,bacteriophage MS2 in E.coli,Bacteria Escherichia coli,,0.0,10.0,pfu/cell,,0.0,10.0,Cells,,"'5,000 to 10,000"
100003,Cell volume,Volume,cell,Bacteria Escherichia coli,,0.1,3.5,Î¼m^3,,1.0000000000000001e-19,3.5e-18,Cells,,'0.1-3.5
100004,Cell total volume,Volume,cell total,Bacteria Escherichia coli,1.1,0.44,1.79,µm^3,1.1000000000000001e-18,4.400000000000001e-19,1.79e-18,Cells,1.1,'0.44-1.79 Table link - http://bionumbers.hms.harvard.edu/files/E.%20coli%20cell%20volume%20in%20different%20media%20in%20stationary%20and%20exponential%20phase.pdf
106577,Single cell volume when grown on complex medium and different carbon sources,Single cell volume when grown on complex medium and different carbon sources,,Bacteria Escherichia coli,,1.5,4.4,Î¼m^3,,1.5000000000000001e-18,4.4000000000000005e-18,Cells,,'1.5 to 4.4 table link - http://bionumbers.hms.harvard.edu/files/Measured%20cell%20parameters%20on%20different%20growth%20conditions.pdf
103337,Diameter of fimbriae of E. coli and Salmonella,Diameter,fimbriae of E. coli and Salmonella,Bacteria Escherichia coli,,2.0,8.0,nm,,2e-09,8e-09,Cells,,'2 to 8
101991,wavelength of blue light absorbed by cells expressing GFP,wavelength,blue light absorbed by cells expressing GFP,Bacteria Escherichia coli,,480.0,500.0,nm,,4.800000000000001e-07,5.000000000000001e-07,Cells,,'480-500
101992,Wavelength of green light emitted by cells expressing GFP,Wavelength,green light emitted by cells expressing GFP,Bacteria Escherichia coli,,507.0,511.0,nm,,5.070000000000001e-07,5.110000000000001e-07,Cells,,'507-511
100002,Cell diameter,Diameter,cell,Bacteria Escherichia coli,,1.0,1.1,µm,,1e-06,1.1e-06,Cells,,'1-1.1
100104,Length of pili,Length,pili,Bacteria Escherichia coli,,1.0,2.0,µm,,1e-06,2e-06,Cells,,'1.0 to 2.0
106576,Cell width when grown on complex medium and different carbon sources,Cell width when grown on complex medium and different carbon sources,,Bacteria Escherichia coli,,1.0,1.5,Î¼m,,1e-06,1.5e-06,Cells,,'1.0 to 1.5 table link - http://bionumbers.hms.harvard.edu/files/Measured%20cell%20parameters%20on%20different%20growth%20conditions.pdf
100001,Cell length,Length,cell,Bacteria Escherichia coli,,1.94,2.72,Î¼m,,1.94e-06,2.7200000000000002e-06,Cells,,'1.94 to 2.72
106575,Cell length when grown on complex medium and different carbon sources,Cell length when grown on complex medium and different carbon sources,,Bacteria Escherichia coli,,2.2,3.9,Î¼m,,2.2e-06,3.9e-06,Cells,,'2.2 to 3.9 table link - http://bionumbers.hms.harvard.edu/files/Measured%20cell%20parameters%20on%20different%20growth%20conditions.pdf
100095,Typical length of flagella,Typical length,flagella,Bacteria Escherichia coli,,5.0,10.0,Î¼m,,4.9999999999999996e-06,9.999999999999999e-06,Cells,,'5-10
104738,Envelope volume,Volume,envelope,Bacteria Escherichia coli,0.14,0.09,0.27,fL or µm^3,0.14,0.09,0.27,Cell organelles,0.14,"'0.09 to 0.27, dependent on growth doubling time, ranging from 150 to 20 min."
106579,OD-specific total cell volume when grown on complex medium and different carbon sources,OD-specific total cell volume when grown on complex medium and different carbon sources,,Bacteria Escherichia coli,,2.4,4.5,Î¼l/ml/OD,,2.4,4.5,Cells,,'2.4 to 4.5 table link - http://bionumbers.hms.harvard.edu/files/Measured%20cell%20parameters%20on%20different%20growth%20conditions.pdf
115335,Carbon per cell in volume range 0.036 to 0.073µm^3,Carbon per cell in volume range 0.036 to 0.073µm^3,,Bacteria Escherichia coli,,13.0,19.0,fg C/cell,,13.0,19.0,Cells,,'(Lee and Fuhrman 1987) 20 fg C/cell: (present study) 13 - 19
109923,Usual length of signal peptide,Usual length,signal peptide,Bacteria Escherichia coli,,15.0,30.0,amino acids,,15.0,30.0,Small molecules & proteins,,'15 - 30
103727,Length of nascent polypeptide chain shielded in ribosomal tunnel,Length,nascent polypeptide chain shielded in ribosomal tunnel,Bacteria Escherichia coli,,30.0,72.0,amino acids,,30.0,72.0,Small molecules & proteins,,'30-72
102051,Okazaki fragment length,Length,okazaki fragment,Bacteria Escherichia coli,,500.0,2000.0,base pairs,,500.0,2000.0,Cells,,'500-2000
100011,Cytoplasm volume,Volume,cytoplasm,Bacteria Escherichia coli,0.67,,,µm^3,6.700000000000001e-19,,,Cell organelles,0.67,
100012,Envelope volume,Volume,envelope,Bacteria Escherichia coli,0.13,,,µm^3,1.3e-19,,,Cell organelles,0.13,
100013,Nuclear (DNA+protein) volume,Volume,nuclear (dna+protein),Bacteria Escherichia coli,0.16,,,µm^3,1.6000000000000002e-19,,,Small molecules & proteins,0.16,
100017,Average size of endogenous E. coli cytosolic protein,Average size,endogenous E. coli cytosolic protein,Bacteria Escherichia coli,300.0,,,amino acids,300.0,,,Small molecules & proteins,300,
100022,Charactaristic average size of mRNA,Charactaristic average size,mRNA,Bacteria Escherichia coli,1000.0,,,nts,1000.0,,,DNA/RNA structures,1000,
100023,Average length of mRNA,Average length,mRNA,Bacteria Escherichia coli,370.0,,,nm,3.7e-07,,,DNA/RNA structures,370,
100028,Diameter of relaxed circular chromosome,Diameter,relaxed circular chromosome,Bacteria Escherichia coli,490.0,,,µm,0.00049,,,DNA/RNA structures,490,
100029,Diameter of condensed chromosome,Diameter,condensed chromosome,Bacteria Escherichia coli,17.0,,,µm,1.7e-05,,,DNA/RNA structures,17,
100044,Volume occupied by water,Volume occupied by water,,Bacteria Escherichia coli,70.0,,,%,70.0,,,Cells,70,'Table Link - http://bionumbers.hms.harvard.edu/files/Composition%20of%20an%20average%20E.%20coli%20B-r%20cell.pdf
100045,Volume occupied by protein,Volume occupied by protein,,Bacteria Escherichia coli,17.0,,,%,17.0,,,Small molecules & proteins,17,
100046,Volume occupied by all RNA,Volume occupied by all RNA,,Bacteria Escherichia coli,6.0,,,%,6.0,,,DNA/RNA structures,6,
100047,Volume occupied by rRNA,Volume occupied by rRNA,,Bacteria Escherichia coli,5.0,,,%,5.0,,,DNA/RNA structures,5,
100048,Volume occupied by tRNA,Volume occupied by tRNA,,Bacteria Escherichia coli,0.8,,,%,0.8,,,DNA/RNA structures,0.8,
100049,Volume occupied by mRNA,Volume occupied by mRNA,,Bacteria Escherichia coli,0.2,,,%,0.2,,,DNA/RNA structures,0.2,
100051,Volume occupied by ribosomes,Volume occupied by ribosomes,,Bacteria Escherichia coli,8.0,,,%,8.0,,,Cell organelles,8,
100052,Volume occupied by lipid,Volume occupied by lipid,,Bacteria Escherichia coli,3.0,,,%,3.0,,,Cells,3,
100053,Volume occupied by LPS,Volume occupied by LPS,,Bacteria Escherichia coli,1.0,,,%,1.0,,,Cells,1,
100054,Volume occupied by murein,Volume occupied by murein,,Bacteria Escherichia coli,1.0,,,%,1.0,,,Cells,1,
100055,Volume occupied by glycogen,Volume occupied by glycogen,,Bacteria Escherichia coli,1.0,,,%,1.0,,,Cells,1,
100056,Volume occupied by ions,Volume occupied by ions,,Bacteria Escherichia coli,0.3,,,%,0.3,,,Cells,0.3,
100057,Volume occupied by small organics,Volume occupied by small organics,,Bacteria Escherichia coli,1.0,,,%,1.0,,,Cells,1,
100077,Average surface area of lipid molecule,Average surface area,lipid molecule,Bacteria Escherichia coli,25.0,,,Å^2,25.0,,,Small molecules & proteins,25,
100096,Diameter of flagella,Diameter,flagella,Bacteria Escherichia coli,,,,nm,,,,Cells,,'~20
100098,Diameter of each fliC monomer,Diameter,each fliC monomer,Bacteria Escherichia coli,5.0,,,nm,5e-09,,,Cells,5,
100105,Diameter of pili,Diameter,pili,Bacteria Escherichia coli,7.0,,,nm,7.000000000000001e-09,,,Cells,7,
100109,Dimensions of central cavity of P-type pili,Dimensions,central cavity of P-type pili,Bacteria Escherichia coli,,,,,,,,Cells,,'25Å × 15Å
100121,Diameter of 70S (intact) ribosome,Diameter,70S (intact) ribosome,Bacteria Escherichia coli,26.0,,,nm,2.6e-08,,,Cell organelles,26,
100269,Genome Size,Size,genome,Bacteria Escherichia coli,4600000.0,,,Base pairs,4600000.0,,,Cells,4600000,
101314,glutamine pool size,Size,glutamine pool,Bacteria Escherichia coli,3.92,,,µmol/g,3.92,,,Cells,3.92,'±0.17
101315,glutamate pool size,Size,glutamate pool,Bacteria Escherichia coli,100.55,,,µmol/g,100.55,,,Cells,100.55,'±17.54
101316,Alanine pool size,Size,alanine pool,Bacteria Escherichia coli,6.81,,,µmol/g,6.81,,,Cells,6.81,'±1.70
101317,asparagine pool size,Size,asparagine pool,Bacteria Escherichia coli,2.02,,,µmol/g,2.02,,,Cells,2.02,'±0.46
101318,Aspartate pool size,Size,aspartate pool,Bacteria Escherichia coli,6.45,,,µmol/g,6.45,,,Cells,6.45,'±3.54
101319,Methionine pool size,Size,methionine pool,Bacteria Escherichia coli,0.29,,,µmol/g,0.29,,,Cells,0.29,'±0.07
101321,Proline pool size,Size,proline pool,Bacteria Escherichia coli,1.1,,,µmol/g,1.1,,,Cells,1.1,'±0.15
101322,Threonine pool size,Size,threonine pool,Bacteria Escherichia coli,1.34,,,µmol/g,1.34,,,Cells,1.34,'±0.16
101323,Tyrosine pool size,Size,tyrosine pool,Bacteria Escherichia coli,0.41,,,µmol/g,0.41,,,Cells,0.41,'±0.25
101324,Valine pool size,Size,valine pool,Bacteria Escherichia coli,2.41,,,µmol/g,2.41,,,Cells,2.41,'±0.27
101325,Carbamoyl aspartate pool size,Size,carbamoyl aspartate pool,Bacteria Escherichia coli,0.84,,,µmol/g,0.84,,,Cells,0.84,'±0.28
101326,IMP pool size,Size,imp pool,Bacteria Escherichia coli,0.38,,,µmol/g,0.38,,,Cells,0.38,'±0.01
101788,"""Rule of thumb"" for cell volume","""Rule of thumb""",""" for cell volume",Bacteria Escherichia coli,1.0,,,µm^3,1e-18,,,Cells,1,
101792,"""Rule of thumb"" for cell area (surface area)","""Rule of thumb""",""" for cell area (surface area)",Bacteria Escherichia coli,6.0,,,µm^2,6e-12,,,Cells,6,
102004,Length of reporter fusion protein (tsr-Venus),Length,reporter fusion protein (tsr-Venus),Bacteria Escherichia coli,815.0,,,amino acids,815.0,,,Small molecules & proteins,815,
102044,Translation burst size of a fusion protein,Translation burst size,a fusion protein,Bacteria Escherichia coli,4.0,,,molecules,4.0,,,Small molecules & proteins,4,
102065,Length of cell,Length,cell,Bacteria Escherichia coli,2.0,,,µm,2e-06,,,Cells,2,
102066,Diameter of cell,Diameter,cell,Bacteria Escherichia coli,1.0,,,µm,1e-06,,,Cells,1,
102067,Volume of cell,Volume,cell,Bacteria Escherichia coli,2.0,,,µm^3,2e-18,,,Cells,2,
102070,LacZ gene size,Size,lacz gene,Bacteria Escherichia coli,3075.0,,,base pairs,3075.0,,,Cells,3075,
102071,Length of a DNA sequence that would occur statistically only once in chromosome,Length,a DNA sequence that would occur statistically only once in chromosome,Bacteria Escherichia coli,11.0,,,base pairs,11.0,,,DNA/RNA structures,11,
102072,Characteristic length of a sequence that a particular DNA binding motif can recognize,Characteristic length,a sequence that a particular DNA binding motif can recognize,Bacteria Escherichia coli,5.0,,,base pairs,5.0,,,DNA/RNA structures,5,
102320,Size of 70s (intact) of ribosome,Size,70s (intact) of ribosome,Bacteria Escherichia coli,21.0,,,nm,2.1000000000000003e-08,,,Cell organelles,21,
