bion_id,Properties,property_type,property_of,Organism,value,min_value,max_value,Units,standardized_value,standardized_min,standardized_max,category,original_value,original_range
103715,Final replicative volume-volume of cell that can no longer replicate,Final replicative volume-volume,cell that can no longer replicate,Budding yeast Saccharomyces cerevisiae,,160.0,539.0,µm^3,,1.6e-16,5.390000000000001e-16,Cells,,'160-539
110479,Gastrointestinal fluid volumes as determined by magnetic resonance imaging (MRI),Gastrointestinal fluid volumes as determined by magnetic resonance imaging (MRI),,Human Homo sapiens,,,,mL,,,,Other,,'Table link - http://bionumbers.hms.harvard.edu/files/Gastrointestinal%20fluid%20volumes%20as%20determined%20by%20magnetic%20resonance%20imaging%20(MRI).pdf
110465,Haploid cell volumes in the different cell cycle stages,Haploid cell volumes in the different cell cycle stages,,Budding yeast Saccharomyces cerevisiae,,10.0,50.0,µm^3,,1e-17,5.0000000000000005e-17,Cells,,'G1 phase 10-50µm^3: S phase 20-60µm^3: G2 phase 40-80µm^3 M phase 60-100µm^3
109404,HeLa cell cytoplasmic volume 0 to 19 hours after mitosis,HeLa cell cytoplasmic volume 0 to 19 hours after mitosis,,Human Homo sapiens,,1.0,891.0,Î¼m^3,,1e-18,8.91e-16,Cell organelles,,"'891 to 1,973 Table link - http://bionumbers.hms.harvard.edu/files/Estimates%20of%20Three-Dimensional%20Cellular%20and%20Mitochondrial%20Parameters.pdf"
109402,HeLa cell volume 0 to 19 hours after mitosis,HeLa cell volume 0 to 19 hours after mitosis,,Human Homo sapiens,,2.0,403.0,Î¼m^3,,2e-18,4.0300000000000004e-16,Cells,,"'1,403 to 2,751 Table link - http://bionumbers.hms.harvard.edu/files/Estimates%20of%20Three-Dimensional%20Cellular%20and%20Mitochondrial%20Parameters.pdf"
103204,Hindbrain proportion out of central nervous system (by volume),Hindbrain proportion out,central nervous system (by volume),Human Homo sapiens,2.0,,,Percent,2.0,,,Other,2,
116372,Human nuclear DNA content and cell volume data (to view table please scroll down to pp.7-25),Human nuclear DNA content and cell volume data (to view table please scroll down to pp.7-25),,Human Homo sapiens,,,,,,,,DNA/RNA structures,,'Table link - http://bionumbers.hms.harvard.edu/files/Human%20nuclear%20DNA%20content%20and%20cell%20volume%20data.pdf
106310,Increases in cell volume of interferon-treated fibroblasts,Increases in cell volume,interferon-treated fibroblasts,Human Homo sapiens,,,,,,,,Cells,,'Table link - http://bionumbers.hms.harvard.edu/files/Increases%20in%20Cell%20Volume%20of%20Interferon-treated%20Middle%20and%20High%20PDL%20fibroblasts.pdf
102776,Inner aqueous volume of a synaptic vesicle,Inner aqueous volume,a synaptic vesicle,Rat Rattus norvegicus,2.0,,,µm^3,2e-18,,,Cell organelles,2E-05,
105905,"Internal volume of a typical cell - excluding cell wall, membrane, ribosomes, etc.",Internal volume,"a typical cell - excluding cell wall, membrane, ribosomes, etc.",bacteria,0.2,,,µm^3,2.0000000000000002e-19,,,DNA/RNA structures,0.2,
108810,Intracellular aqueous volume (Vin),Intracellular aqueous volume (Vin),,Unspecified,2.3,,,Î¼L per mg of dry cell weight (DCW),2.3,,,Cells,2.3,
109064,Intracellular volume of mouse embryonic stem (ES) cells compared to that of normal mammalian cells,Intracellular volume,mouse embryonic stem (ES) cells compared to that of normal mammalian cells,Mouse Mus musculus,,2.0,3.0,orders of magnitude smaller,,2.0,3.0,Cells,,'2 to 3
109891,Isosmotic volume of sperm,Isosmotic volume,sperm,Human Homo sapiens,28.5,,,Î¼m^3,2.85e-17,,,Other,28.5,'±0.3 Table link - http://bionumbers.hms.harvard.edu/files/The%20isosmotic%20cell%20volume%20of%20human%20sperm%20at%20different%20temperatures.pdf
110480,Large intestine fluid volume as determined by magnetic resonance imaging (MRI),Large intestine fluid volume as determined by magnetic resonance imaging (MRI),,Human Homo sapiens,13.0,1.0,44.0,mL,1.3e-05,1e-06,4.4e-05,Other,13,'1 - 44 Table link - http://bionumbers.hms.harvard.edu/files/Gastrointestinal%20fluid%20volumes%20as%20determined%20by%20magnetic%20resonance%20imaging%20(MRI).pdf
106614,"Length, diameter, volume and surface area of cells in different conditions","Length, diameter, volume and surface area",cells in different conditions,Bacteria Escherichia coli,,,,,,,,Cells,,'Table link - http://bionumbers.hms.harvard.edu/files/Effect%20of%20DAP%20concentration%20on%20mean%20dimensions%20of%20cells%20grown%20under%20different%20conditions.pdf
105705,"Length, width and volume of cardiac myocytes","Length, width and volume",cardiac myocytes,Rat Rattus norvegicus,,,,,,,,Other,,'table link - http://bionumbers.hms.harvard.edu/files/Length%2C%20width%20and%20volume%20of%20rat%20cardiac%20myocytes.pdf
106309,"Lengths, surfaces, and volumes of cells growing in steady state at 37 °C","Lengths, surfaces, and volumes",cells growing in steady state at 37 °C,Bacteria Escherichia coli,,,,,,,,Cells,,'Table link - http://bionumbers.hms.harvard.edu/files/lengths%2C%20surfaces%2C%20and%20volumes%20of%20cells%20growing%20in%20steady%20state%20at%2037%20%C2%B0C2.pdf
112495,Lower limit of the motor neuron volume,Lower limit,the motor neuron volume,Mouse Mus musculus,,,,µm^3,,,,Other,,"'>5,000"
115194,Lymphocyte volume distribution,Lymphocyte volume distribution,,Human Homo sapiens,,,,%,,,,Other,,'nucleus 44.4%: granules 0.2%: mitochondria 3.8%: cytoplasm 51.6
111787,Lymphocyte volumes (fL) and diameters (µm) of normal subjects and patients with chronic lymphocytic leukemia,Lymphocyte volumes (fL) and diameters (µm),normal subjects and patients with chronic lymphocytic leukemia,Human Homo sapiens,,,,,,,,Other,,'Table link - http://bionumbers.hms.harvard.edu/files/Lymphocyte%20volumes%20(fL)%20and%20diameters%20(um)%20of%20normal%20subjects%20and%20patients%20with%20chronic%20lymphocytic%20leukemia.pdf
110181,Macromolecular composition and volumes of cells grown in batch culture at 30 or 15ËC,Macromolecular composition and volumes,cells grown in batch culture at 30 or 15ËC,Yeast Candida utilis,,,,,,,,Cells,,'Table link - http://bionumbers.hms.harvard.edu/files/Macromolecular%20composition%20and%20volumes%20of%20cells%20grown%20in%20batch%20culture%20at%2030%20or%2015%20C.pdf
109067,Maximal volume of stomach (in order to accommodate food),Maximal volume,stomach (in order to accommodate food),Human Homo sapiens,,,,Liters,,,,Other,,'~4
108830,Maximum volume of a typical cell in exponential phase in minimal growth medium,Maximum volume,a typical cell in exponential phase in minimal growth medium,Bacteria Escherichia coli,1.8,,,Liter,1.8,,,Cells,1.8E-15,
116921,Mean cell volume (MCV) of human blood leucocytes and various murine macrophages,Mean cell volume (MCV),human blood leucocytes and various murine macrophages,Mammals,,,,fL,,,,Cells,,'Table link - http://bionumbers.hms.harvard.edu/files/Mean%20cell%20volume%20of%20human%20blood%20leucocytes%20and%20various%20murine%20macrophages.pdf
106312,Mean cell volume (in cubic micrometres) of cells of different ages and budding stages,Mean cell volume (in cubic micrometres),cells of different ages and budding stages,Yeast Candida albicans,,,,,,,,Cells,,'Table link - http://bionumbers.hms.harvard.edu/files/Mean%20cell%20volume%20(in%20cubic%20micrometres)%20of%20cells%20of%20different%20ages%20and%20budding%20stages2.pdf
105103,Mean cell volume for different batch culture media,Mean cell volume for different batch culture media,,Budding yeast Saccharomyces cerevisiae,,,,,,,,Cells,,'Table Link - http://bionumbers.hms.harvard.edu/files/populationtyson1978.pdf
100430,Mean haploid cell volume in exponential phase grown in YEP+glucose at 30°,Mean haploid cell volume in exponential phase grown in YEP+glucose at 30°,,Budding yeast Saccharomyces cerevisiae,37.0,31.1,40.6,µm^3,3.7000000000000003e-17,3.11e-17,4.06e-17,Cells,37,'31.1 - 40.6 Table Link - http://bionumbers.hms.harvard.edu/files/Population%20doubling%20time%2C%20percent%20budded%20cells%2C%20and%20mean%20cell%20volume%20for%20different%20batch%20culture%20media1.pdf
107792,Mean interphase nuclear and chromosomal volumes and DNA contents for liver parenchymal cells for 16 frog and 15 salamander species,Mean interphase nuclear and chromosomal volumes and DNA contents for liver parenchymal cells for 16 frog and 15 salamander species,,vertebrates,,,,,,,,DNA/RNA structures,,'Table link - http://bionumbers.hms.harvard.edu/files/Mean%20interphase%20nuclear%20and%20chromosomal%20volumes%20and%20DNA%20contents%20for%20liver%20parenchymal%20cells%20for%2016%20frog%20and%2015%20salamander%20species.pdf
115532,Mean microbial cell volume in deep old marine sediments,Mean microbial cell volume in deep old marine sediments,,Microbes,0.042,,,Î¼m^3,4.2000000000000004e-20,,,Cells,0.042,
100491,Mean nuclear volume of a haploid budding yeast in glucose medium (S288c background),Mean nuclear volume,a haploid budding yeast in glucose medium (S288c background),Budding yeast Saccharomyces cerevisiae,2.9,,,µm^3,2.9e-18,,,Nuclei,2.9,'±0.9
107578,Mean volume of the catalytic active site pocket,Mean volume,the catalytic active site pocket,Generic,1072.0,,,Å^3,1.0720000000000002e-27,,,Other,1072,
106536,Mean volume of corn seedling chloroplast,Mean volume,corn seedling chloroplast,Corn Zea mays,22.5,,,Î¼m^3,2.2500000000000002e-17,,,Cell organelles,22.5,'Table link - http://bionumbers.hms.harvard.edu/files/THE%20PARTICLE%20VOLUME%20AND%20ESTIMATED%20PARTICLE%20DIMENSIONS%20OF%20corn%20seedling%20chloroplast.pdf
100520,Mean volume of freshly isolated T cells from spleen and mesenteric lymph nodes,Mean volume,freshly isolated T cells from spleen and mesenteric lymph nodes,Mouse Mus musculus,131.4,,,µm^3,1.3140000000000002e-16,,,Cells,131.4,'±3.9
103181,Mean volume of nucleus of purkinje cell in cerebellum,Mean volume,nucleus of purkinje cell in cerebellum,Human Homo sapiens,1320.0,,,µm^3,1.3200000000000001e-15,,,Nuclei,1320,
103180,Mean volume of perikaryon of purkinje cell in cerebellum,Mean volume,perikaryon of purkinje cell in cerebellum,Human Homo sapiens,13700.0,,,µm^3,1.3700000000000001e-14,,,Cells,13700,
113145,"Mean volume of whole brain, amygdala and hippocampus in infants, children and adolescents/adults of both sexes",Mean volume,"whole brain, amygdala and hippocampus in infants, children and adolescents/adults of both sexes",Human Homo sapiens,,,,cm^3,,,,Other,,'Table link - http://bionumbers.hms.harvard.edu/files/Mean%20volume%20of%20whole%20brain%2C%20amygdala%20and%20hippocampus.pdf
110349,Mean volume per cell ('000µm^3) of different cell types in plant parts of eight forage species,Mean volume per cell ('000µm^3),different cell types in plant parts of eight forage species,Plants,,,,'000µm^3,,,,Cells,,'Table link - http://bionumbers.hms.harvard.edu/files/Mean%20volume%20per%20cell%20('000%20lm%5E3)%20of%20different%20cell%20types%20in%20plant%20parts%20of%20eight%20forage%20species.pdf
108449,Median volume of cell in early stationary phase,Median volume,cell in early stationary phase,Bacteria Staphylococcus aureus,0.23,,,Î¼m^3,2.3000000000000003e-19,,,Cells,0.23,'±0.04 Table link - http://bionumbers.hms.harvard.edu/files/Titer%2C%20volumes%20and%20disruption%20efficiency%20for%20B.%20subtilis%20and%20S.%20aureus.pdf
108450,Median volume of cell in late stationary phase,Median volume,cell in late stationary phase,Bacteria Staphylococcus aureus,0.23,,,Î¼m^3,2.3000000000000003e-19,,,Cells,0.23,'±0.04 Table link - http://bionumbers.hms.harvard.edu/files/Titer%2C%20volumes%20and%20disruption%20efficiency%20for%20B.%20subtilis%20and%20S.%20aureus.pdf
108448,Median volume of cell in exponential phase,Median volume,cell in exponential phase,Bacteria Staphylococcus aureus,0.33,,,Î¼m^3,3.3000000000000003e-19,,,Cells,0.33,'±0.05 Table link - http://bionumbers.hms.harvard.edu/files/Titer%2C%20volumes%20and%20disruption%20efficiency%20for%20B.%20subtilis%20and%20S.%20aureus.pdf
108446,Median volume of cell in early stationary phase,Median volume,cell in early stationary phase,Bacteria Bacillus subtilis,0.62,,,Î¼m^3,6.200000000000001e-19,,,Cells,0.62,'±0.35 Table link - http://bionumbers.hms.harvard.edu/files/Titer%2C%20volumes%20and%20disruption%20efficiency%20for%20B.%20subtilis%20and%20S.%20aureus.pdf
108447,Median volume of cell in late stationary phase,Median volume,cell in late stationary phase,Bacteria Bacillus subtilis,0.85,,,Î¼m^3,8.5e-19,,,Cells,0.85,'±0.38 Table link - http://bionumbers.hms.harvard.edu/files/Titer%2C%20volumes%20and%20disruption%20efficiency%20for%20B.%20subtilis%20and%20S.%20aureus.pdf
108445,Median volume of cell in exponential phase,Median volume,cell in exponential phase,Bacteria Bacillus subtilis,1.13,,,Î¼m^3,1.13e-18,,,Cells,1.13,'±0.37 Table link - http://bionumbers.hms.harvard.edu/files/Titer%2C%20volumes%20and%20disruption%20efficiency%20for%20B.%20subtilis%20and%20S.%20aureus.pdf
110129,Megakaryocyte volume following one bolus injection of 3 Î¼g/kg PEG-rHuMGDF (pegylated recombinant megakaryocyte growth and development factor),Megakaryocyte volume following one bolus injection,3 Î¼g/kg PEG-rHuMGDF (pegylated recombinant megakaryocyte growth and development factor),Human Homo sapiens,,,,"1,000fL",,,,Other,,'Table link - http://bionumbers.hms.harvard.edu/files/Platelet%20production%20following%20single%20bolus%20injection%20of%203%20ug-kg%20PEG-rHuMGDF.pdf
104442,Minimal cell volume at division with ammonia as oxidizer,Minimal cell volume at division with ammonia as oxidizer,,Bacteria Escherichia coli,0.97,,,µm^3,9.7e-19,,,Cells,0.97,'Table link - http://bionumbers.hms.harvard.edu/files/Biofilm%20model%20parameters.pdf
104441,Minimal cell volume at division with nitrite as oxidizer,Minimal cell volume at division with nitrite as oxidizer,,Bacteria Escherichia coli,0.67,,,um^3,6.700000000000001e-19,,,Cells,0.67,'Table link - http://bionumbers.hms.harvard.edu/files/Biofilm%20model%20parameters.pdf
